repo_name,week,n_prs,mean_log_hours,mean_hours,merge_rate,is_treated_repo,treatment_date,event_time_weeks,post,treated,treated_x_post,event_quarter,eq_m8,eq_m7,eq_m6,eq_m5,eq_m4,eq_m3,eq_m2,eq_0,eq_1,eq_2,eq_3,eq_4,eq_5,eq_6,eq_7,eq_8
AUTOMATIC1111/stable-diffusion-webui,2023-11-20,7,3.999232881437316,694.4285714285714,0.0,True,2022-10-11,58.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-11-27,10,4.196073535103644,151.5,0.0,True,2022-10-11,59.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-12-04,12,4.711744222108858,317.5,0.0,True,2022-10-11,60.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-12-11,19,1.6897105331071507,55.05263157894737,0.0,True,2022-10-11,61.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-12-18,12,4.280063157299149,203.16666666666666,0.0,True,2022-10-11,62.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-12-25,20,2.0421759057157245,26.2,0.0,True,2022-10-11,63.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-01-01,28,2.1515345875257763,27.535714285714285,0.0,True,2022-10-11,64.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-01-08,13,3.2136676401081776,487.2307692307692,0.0,True,2022-10-11,65.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-01-15,21,3.365418931914758,49.857142857142854,0.0,True,2022-10-11,66.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-01-22,9,2.875399509356987,29.444444444444443,0.0,True,2022-10-11,67.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-01-29,11,2.052924146793261,81.0,0.0,True,2022-10-11,68.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-02-05,8,3.311290471927376,61.25,0.0,True,2022-10-11,69.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-02-12,12,2.451854766951356,62.666666666666664,0.0,True,2022-10-11,70.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-02-19,10,3.7881491898793143,140.0,0.0,True,2022-10-11,71.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-02-26,10,2.4381991204031968,89.6,0.0,True,2022-10-11,72.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-03-04,17,1.9538468482135325,43.0,0.0,True,2022-10-11,73.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-03-11,15,2.4638537556721447,31.333333333333332,0.0,True,2022-10-11,74.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-03-18,13,2.6858385441872232,67.07692307692308,0.0,True,2022-10-11,75.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-03-25,8,3.61823689063448,382.75,0.0,True,2022-10-11,76.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-04-01,3,2.632556050242302,46.0,0.0,True,2022-10-11,77.0,1,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-04-08,5,0.9400960731584833,5.0,0.0,True,2022-10-11,78.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-04-15,18,3.3240841095422726,53.611111111111114,0.0,True,2022-10-11,79.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-04-22,8,5.246672248950741,818.625,0.0,True,2022-10-11,80.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-04-29,14,5.141805867952664,620.7142857142857,0.0,True,2022-10-11,81.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-05-06,9,5.194626705817452,639.4444444444445,0.0,True,2022-10-11,82.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-05-13,21,4.9126800298313995,452.4761904761905,0.0,True,2022-10-11,83.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-05-20,8,4.184668146858632,219.5,0.0,True,2022-10-11,84.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-05-27,1,5.529429087511423,251.0,0.0,True,2022-10-11,85.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-06-03,18,1.9019959797005472,97.11111111111111,0.0,True,2022-10-11,86.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-06-10,6,2.962136360278,182.83333333333334,0.0,True,2022-10-11,87.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-06-17,11,4.873115801065823,294.3636363636364,0.0,True,2022-10-11,88.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-06-24,9,3.979734734153572,129.77777777777777,0.0,True,2022-10-11,89.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-07-01,9,3.2592634997607255,73.44444444444444,0.0,True,2022-10-11,90.0,1,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOMATIC1111/stable-diffusion-webui,2024-07-08,5,2.670695019673543,67.2,0.0,True,2022-10-11,91.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-07-15,6,3.248807045899865,49.0,0.0,True,2022-10-11,92.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-07-22,6,6.406859475955418,1820.1666666666667,0.0,True,2022-10-11,93.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-07-29,2,7.947766840246589,2938.5,0.0,True,2022-10-11,94.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-08-05,1,7.475905969367397,1764.0,0.0,True,2022-10-11,95.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-08-12,3,7.528321242607089,1859.0,0.0,True,2022-10-11,96.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-08-19,2,7.355176454516279,1565.5,0.0,True,2022-10-11,97.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-08-26,4,3.627609163828272,709.0,0.0,True,2022-10-11,98.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-09-02,3,3.9598278035876366,371.0,0.0,True,2022-10-11,99.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-09-09,1,3.871201010907891,47.0,0.0,True,2022-10-11,100.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-09-16,1,0.0,0.0,0.0,True,2022-10-11,101.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-09-30,6,4.277591407295439,337.3333333333333,0.0,True,2022-10-11,103.0,1,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUTOMATIC1111/stable-diffusion-webui,2024-10-07,3,3.6572822660110718,87.0,0.0,True,2022-10-11,104.0,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTOMATIC1111/stable-diffusion-webui,2024-10-14,7,1.3688040040403944,44.142857142857146,0.0,True,2022-10-11,105.0,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
